state,energy[kWh/m2],energy[kWh]
"(0, 0, 0)",166.8912,42066.595872
"(0, 0, 1)",167.1936,42142.818816
"(0, 0, 2)",167.46520000000004,42211.27831200001
"(0, 1, 0)",169.44480000000001,42710.256288000004
"(0, 1, 1)",169.7444,42785.773464000005
"(0, 1, 2)",170.01320000000004,42853.52719200001
"(0, 2, 0)",171.85000000000002,43316.511000000006
"(0, 2, 1)",172.144,43390.61664
"(0, 2, 2)",172.4128,43458.370368
"(1, 0, 0)",167.38960000000003,42192.22257600001
"(1, 0, 1)",167.6892,42267.739752
"(1, 0, 2)",167.9608,42336.199248000004
"(1, 1, 0)",169.9404,42835.17722400001
"(1, 1, 1)",170.23720000000003,42909.98863200001
"(1, 1, 2)",170.50880000000004,42978.44812800001
"(1, 2, 0)",172.3428,43440.726168
"(1, 2, 1)",172.6368,43514.831807999995
"(1, 2, 2)",172.90560000000002,43582.585536000006
"(2, 0, 0)",167.87120000000002,42313.614672
"(2, 0, 1)",168.1708,42389.131848000005
"(2, 0, 2)",168.44240000000002,42457.59134400001
"(2, 1, 0)",170.422,42956.56932
"(2, 1, 1)",170.71880000000002,43031.380728000004
"(2, 1, 2)",170.98760000000001,43099.13445600001
"(2, 2, 0)",172.82160000000002,43561.412496000004
"(2, 2, 1)",173.1156,43635.518136
"(2, 2, 2)",173.38160000000002,43702.566096
